"","gene.name.list"
"1495","CG14543"
"1496","CG14544"
"1497","CG14561"
"1498","CG14562"
"1499","CG14573"
"1500","CG14589"
"1501","CG14590"
"1502","CG14591"
"1503","CG14609"
"1504","CG1461"
"1505","CG14613"
"1506","CG14615"
"1507","CG14618"
"1508","CG14619"
"1509","CG14621"
"1510","CG14628"
"1511","CG1463"
"1512","CG14641"
"1513","CG14642"
"1514","CG14646"
"1515","CG14647"
"1516","CG14650"
"1517","CG14651"
"1518","CG14657"
"1519","CG14664"
"1520","CG14667"
"1521","CG14671"
"1522","CG14683"
"1523","CG14687"
"1524","CG14688"
"1525","CG14692"
"1526","CG14694"
"1527","CG14696"
"1528","CG14701"
"1529","CG14710"
"1530","CG14711"
"1531","CG14712"
"1532","CG14715"
"1533","CG14721"
"1534","CG14722"
"1535","CG14749"
"1536","CG14752"
"1537","CG14757"
"1538","CG14764"
"1539","CG14767"
"1540","CG14777"
"1541","CG14778"
"1542","CG14785"
"1543","CG14786"
"1544","CG14787"
"1545","CG14798"
"1546","CG14803"
"1547","CG14805"
"1548","CG14806"
"1549","CG14812"
"1550","CG14814"
"1551","CG14817"
"1552","CG14818"
"1553","CG14829"
"1554","CG14830"
"1555","CG14834"
"1556","CG14852"
"1557","CG1486"
"1558","CG14860"
"1559","CG14864"
"1560","CG14868"
"1561","CG14870"
"1562","CG14879"
"1563","CG14881"
"1564","CG14882"
"1565","CG14883"
"1566","CG14894"
"1567","CG14898"
"1568","CG14903"
"1569","CG14906"
"1570","CG14907"
"1571","CG14915"
"1572","CG1492"
"1573","CG14921"
"1574","CG14931"
"1575","CG14932"
"1576","CG14937"
"1577","CG14945"
"1578","CG14946"
"1579","CG14947"
"1580","CG14963"
"1581","CG14965"
"1582","CG14966"
"1583","CG14967"
"1584","CG14969"
"1585","CG14971"
"1586","CG14977"
"1587","CG14985"
"1588","CG14995"
"1589","CG14997"
"1590","CG15011"
"1591","CG15012"
"1592","CG15014"
"1593","CG15019"
"1594","CG15020"
"1595","CG15027"
"1596","CG1503"
"1597","CG1504"
"1598","CG15043"
"1599","CG15047"
"1600","CG15056"
"1601","CG15073"
"1602","CG15082"
"1603","CG15083"
"1604","CG15084"
"1605","CG15087"
"1606","CG15098"
"1607","CG15099"
"1608","CG15100"
"1609","CG15107"
"1610","CG15111"
"1611","CG15118"
"1612","CG15128"
"1613","CG1513"
"1614","CG15141"
"1615","CG15142"
"1616","CG15155"
"1617","CG1516"
"1618","CG15160"
"1619","CG15161"
"1620","CG15168"
"1621","CG15170"
"1622","CG1518"
"1623","CG15196"
"1624","CG15201"
"1625","CG15208"
"1626","CG15213"
"1627","CG1523"
"1628","CG15236"
"1629","CG15237"
"1630","CG15270"
"1631","CG1529"
"1632","CG15306"
"1633","CG15309"
"1634","CG15312"
"1635","CG15317"
"1636","CG1532"
"1637","CG15343"
"1638","CG15345"
"1639","CG15347"
"1640","CG15356"
"1641","CG15362"
"1642","CG15365"
"1643","CG15382"
"1644","CG15387"
"1645","CG15390"
"1646","CG15412"
"1647","CG1542"
"1648","CG15431"
"1649","CG15432"
"1650","CG15434"
"1651","CG15435"
"1652","CG15436"
"1653","CG15439"
"1654","CG15440"
"1655","CG15443"
"1656","CG15445"
"1657","CG15446"
"1658","CG15449"
"1659","CG15456"
"1660","CG15479"
"1661","CG15480"
"1662","CG15484"
"1663","CG15497"
"1664","CG1550"
"1665","CG15514"
"1666","CG15523"
"1667","CG15525"
"1668","CG15526"
"1669","CG15528"
"1670","CG15530"
"1671","CG15535"
"1672","CG15536"
"1673","CG15547"
"1674","CG15556"
"1675","CG15561"
"1676","CG15570"
"1677","CG15579"
"1678","CG15601"
"1679","CG15602"
"1680","CG1561"
"1681","CG15617"
"1682","CG15618"
"1683","CG15625"
"1684","CG15628"
"1685","CG15629"
"1686","CG15642"
"1687","CG15643"
"1688","CG15646"
"1689","CG15650"
"1690","CG15653"
"1691","CG15661"
"1692","CG15674"
"1693","CG15696"
"1694","CG15701"
"1695","CG15706"
"1696","CG15708"
"1697","CG1571"
"1698","CG15715"
"1699","CG15717"
"1700","CG15725"
"1701","CG15735"
"1702","CG15739"
"1703","CG15743"
"1704","CG15744"
"1705","CG15747"
"1706","CG1575"
"1707","CG15760"
"1708","CG15771"
"1709","CG15772"
"1710","CG1578"
"1711","CG15784"
"1712","CG15814"
"1713","CG15817"
"1714","CG1582"
"1715","CG15829"
"1716","CG15861"
"1717","CG15863"
"1718","CG15864"
"1719","CG15870"
"1720","CG15876"
"1721","CG15877"
"1722","CG15881"
"1723","CG15882"
"1724","CG15891"
"1725","CG15892"
"1726","CG15896"
"1727","CG15905"
"1728","CG15908"
"1729","CG15912"
"1730","CG15914"
"1731","CG15916"
"1732","CG15922"
"1733","CG15923"
"1734","CG15927"
"1735","CG15930"
"1736","CG1597"
"1737","CG1598"
"1738","CG1602"
"1739","CG1603"
"1740","CG1607"
"1741","CG1620"
"1742","CG1622"
"1743","CG1628"
"1744","CG1635"
"1745","CG1636"
"1746","CG1637"
"1747","CG1638"
"1748","CG1640"
"1749","CG1646"
"1750","CG1647"
"1751","CG1657"
"1752","CG1662"
"1753","CG1663"
"1754","CG1665"
"1755","CG1667"
"1756","CG16700"
"1757","CG1671"
"1758","CG16710"
"1759","CG16711"
"1760","CG16717"
"1761","CG16721"
"1762","CG1673"
"1763","CG16734"
"1764","CG16736"
"1765","CG1674"
"1766","CG16742"
"1767","CG16749"
"1768","CG16753"
"1769","CG16756"
"1770","CG16758"
"1771","CG1677"
"1772","CG16771"
"1773","CG16772"
"1774","CG16779"
"1775","CG16787"
"1776","CG16789"
"1777","CG16790"
"1778","CG16791"
"1779","CG16812"
"1780","CG16813"
"1781","CG16815"
"1782","CG16817"
"1783","CG16820"
"1784","CG16833"
"1785","CG16848"
"1786","CG16863"
"1787","CG16865"
"1788","CG16868"
"1789","CG16886"
"1790","CG16888"
"1791","CG16890"
"1792","CG16892"
"1793","CG16896"
"1794","CG16903"
"1795","CG16908"
"1796","CG16926"
"1797","CG16935"
"1798","CG16940"
"1799","CG16941"
"1800","CG16947"
"1801","CG1695"
"1802","CG16952"
"1803","CG16953"
"1804","CG16957"
"1805","CG16959"
"1806","CG16972"
"1807","CG16974"
"1808","CG16979"
"1809","CG16985"
"1810","CG16986"
"1811","CG16989"
"1812","CG17002"
"1813","CG17018"
"1814","CG17019"
"1815","CG17029"
"1816","CG1703"
"1817","CG17032"
"1818","CG17059"
"1819","CG17065"
"1820","CG17068"
"1821","CG1707"
"1822","CG17075"
"1823","CG17078"
"1824","CG17098"
"1825","CG17111"
"1826","CG17118"
"1827","CG17119"
"1828","CG17122"
"1829","CG17129"
"1830","CG17141"
"1831","CG17147"
"1832","CG17162"
"1833","CG17163"
"1834","CG17167"
"1835","CG17168"
"1836","CG17169"
"1837","CG17177"
"1838","CG1718"
"1839","CG17180"
"1840","CG17186"
"1841","CG17187"
"1842","CG17202"
"1843","CG17209"
"1844","CG17211"
"1845","CG17219"
"1846","CG17221"
"1847","CG17224"
"1848","CG17230"
"1849","CG17233"
"1850","CG17249"
"1851","CG17259"
"1852","CG17260"
"1853","CG17261"
"1854","CG17264"
"1855","CG17265"
"1856","CG17266"
"1857","CG17270"
"1858","CG17271"
"1859","CG17272"
"1860","CG17278"
"1861","CG17292"
"1862","CG17294"
"1863","CG1732"
"1864","CG17322"
"1865","CG17323"
"1866","CG17328"
"1867","CG17329"
"1868","CG17333"
"1869","CG17337"
"1870","CG17343"
"1871","CG17359"
"1872","CG17360"
"1873","CG17361"
"1874","CG1737"
"1875","CG17374"
"1876","CG1738"
"1877","CG17385"
"1878","CG17386"
"1879","CG17387"
"1880","CG17440"
"1881","CG17454"
"1882","CG1746"
"1883","CG17470"
"1884","CG17486"
"1885","CG1749"
"1886","CG17490"
"1887","CG17493"
"1888","CG1750"
"1889","CG17508"
"1890","CG17514"
"1891","CG17528"
"1892","CG17549"
"1893","CG17556"
"1894","CG17562"
"1895","CG17564"
"1896","CG17565"
"1897","CG17568"
"1898","CG17574"
"1899","CG17593"
"1900","CG17597"
"1901","CG17598"
"1902","CG17599"
"1903","CG17600"
"1904","CG17612"
"1905","CG17625"
"1906","CG1764"
"1907","CG17646"
"1908","CG17650"
"1909","CG17652"
"1910","CG17658"
"1911","CG17660"
"1912","CG17672"
"1913","CG17680"
"1914","CG17681"
"1915","CG17683"
"1916","CG17684"
"1917","CG17687"
"1918","CG17691"
"1919","CG17698"
"1920","CG17707"
"1921","CG17712"
"1922","CG17715"
"1923","CG17717"
"1924","CG17721"
"1925","CG17724"
"1926","CG17726"
"1927","CG17734"
"1928","CG17737"
"1929","CG17739"
"1930","CG1774"
"1931","CG17746"
"1932","CG17754"
"1933","CG17760"
"1934","CG17765"
"1935","CG17776"
"1936","CG17777"
"1937","CG17786"
"1938","CG17802"
"1939","CG17803"
"1940","CG17806"
"1941","CG17807"
"1942","CG17816"
"1943","CG17829"
"1944","CG17834"
"1945","CG17840"
"1946","CG17841"
"1947","CG1785"
"1948","CG17883"
"1949","CG1789"
"1950","CG17904"
"1951","CG17912"
"1952","CG17919"
"1953","CG1792"
"1954","CG17931"
"1955","CG17977"
"1956","CG17982"
"1957","CG17985"
"1958","CG17994"
"1959","CG17996"
"1960","CG18003"
"1961","CG18004"
"1962","CG1801"
"1963","CG18011"
"1964","CG18012"
"1965","CG18048"
"1966","CG1806"
"1967","CG18067"
"1968","CG18081"
"1969","CG18094"
"1970","CG18095"
"1971","CG1812"
"1972","CG18130"
"1973","CG18131"
"1974","CG18135"
"1975","CG1814"
"1976","CG1815"
"1977","CG18155"
"1978","CG18171"
"1979","CG18178"
"1980","CG18190"
"1981","CG18193"
"1982","CG18213"
"1983","CG1824"
"1984","CG18249"
"1985","CG18259"
"1986","CG18262"
"1987","CG18269"
"1988","CG1827"
"1989","CG18273"
"1990","CG18292"
"1991","CG18304"
"1992","CG18324"
"1993","CG18335"
"1994","CG18336"
"1995","CG18343"
"1996","CG18368"
"1997","CG1840"
"1998","CG18428"
"1999","CG18446"
"2000","CG18467"
"2001","CG1847"
"2002","CG18476"
"2003","CG18480"
"2004","CG18508"
"2005","CG18528"
"2006","CG18530"
"2007","CG18536"
"2008","CG18537"
"2009","CG18538"
"2010","CG18539"
"2011","CG18547"
"2012","CG18549"
"2013","CG18568"
"2014","CG18596"
"2015","CG18598"
"2016","CG18600"
"2017","CG18619"
"2018","CG18628"
"2019","CG18643"
"2020","CG18659"
"2021","CG18661"
"2022","CG1868"
"2023","CG18731"
"2024","CG18754"
"2025","CG18764"
"2026","CG18766"
"2027","CG18769"
"2028","CG18787"
"2029","CG18789"
"2030","CG18809"
"2031","CG18812"
"2032","CG18815"
"2033","CG1882"
"2034","CG18823"
"2035","CG1885"
"2036","CG18858"
"2037","CG18870"
"2038","CG1888"
"2039","CG1890"
"2040","CG1896"
"2041","CG1902"
"2042","CG1907"
"2043","CG1909"
"2044","CG1910"
"2045","CG1927"
"2046","CG1943"
"2047","CG1951"
"2048","CG1958"
"2049","CG1965"
"2050","CG1968"
"2051","CG1969"
"2052","CG1970"
"2053","CG1971"
"2054","CG1979"
"2055","CG1983"
"2056","CG1998"
"2057","CG2003"
"2058","CG2004"
"2059","CG2006"
"2060","CG2016"
"2061","CG2017"
"2062","CG2021"
"2063","CG2022"
"2064","CG2023"
"2065","CG2025"
"2066","CG2034"
"2067","CG2046"
"2068","CG2051"
"2069","CG2059"
"2070","CG2061"
"2071","CG2063"
"2072","CG2064"
"2073","CG2076"
"2074","CG2091"
"2075","CG2100"
"2076","CG2107"
"2077","CG2116"
"2078","CG2118"
"2079","CG2120"
"2080","CG2124"
"2081","CG2126"
"2082","CG2129"
"2083","CG2135"
"2084","CG2144"
"2085","CG2145"
"2086","CG2147"
"2087","CG2157"
"2088","CG2162"
"2089","CG2182"
"2090","CG2186"
"2091","CG2199"
"2092","CG2200"
"2093","CG2201"
"2094","CG2202"
"2095","CG2211"
"2096","CG2218"
"2097","CG2224"
"2098","CG2225"
"2099","CG2246"
"2100","CG2247"
"2101","CG2254"
"2102","CG2256"
"2103","CG2258"
"2104","CG2260"
"2105","CG2263"
"2106","CG2269"
"2107","CG2277"
"2108","CG2278"
"2109","CG2292"
"2110","CG2310"
"2111","CG2316"
"2112","CG2321"
"2113","CG2371"
"2114","CG2444"
"2115","CG2453"
"2116","CG2469"
"2117","CG2493"
"2118","CG2519"
"2119","CG2540"
"2120","CG2543"
"2121","CG2556"
"2122","CG2604"
"2123","CG2608"
"2124","CG2611"
"2125","CG2614"
"2126","CG2617"
"2127","CG2641"
"2128","CG2650"
"2129","CG2656"
"2130","CG2658"
"2131","CG2662"
"2132","CG2663"
"2133","CG2678"
"2134","CG2681"
"2135","CG2685"
"2136","CG2691"
"2137","CG2694"
"2138","CG2698"
"2139","CG2701"
"2140","CG2712"
"2141","CG2747"
"2142","CG2765"
"2143","CG2767"
"2144","CG2781"
"2145","CG2789"
"2146","CG2790"
"2147","CG2794"
"2148","CG2807"
"2149","CG2811"
"2150","CG2812"
"2151","CG2818"
"2152","CG2837"
"2153","CG2839"
"2154","CG2846"
"2155","CG2852"
"2156","CG2862"
"2157","CG2865"
"2158","CG2875"
"2159","CG2887"
"2160","CG2889"
"2161","CG2906"
"2162","CG2909"
"2163","CG2911"
"2164","CG2915"
"2165","CG2918"
"2166","CG2921"
"2167","CG2924"
"2168","CG2926"
"2169","CG2930"
"2170","CG2931"
"2171","CG2938"
"2172","CG2941"
"2173","CG2943"
"2174","CG2964"
"2175","CG2970"
"2176","CG2972"
"2177","CG2974"
"2178","CG2982"
"2179","CG2990"
"2180","CG2991"
"2181","CG2993"
"2182","CG30001"
"2183","CG30002"
"2184","CG30007"
"2185","CG30010"
"2186","CG30015"
"2187","CG30016"
"2188","CG30020"
"2189","CG30022"
"2190","CG30036"
"2191","CG30047"
"2192","CG30051"
"2193","CG30054"
"2194","CG30056"
"2195","CG30069"
"2196","CG3008"
"2197","CG30082"
"2198","CG30089"
"2199","CG30090"
"2200","CG30091"
"2201","CG30094"
"2202","CG30095"
"2203","CG30096"
"2204","CG30099"
"2205","CG30105"
"2206","CG30108"
"2207","CG30109"
"2208","CG3011"
"2209","CG30118"
"2210","CG30122"
"2211","CG30152"
"2212","CG30156"
"2213","CG30157"
"2214","CG30159"
"2215","CG3016"
"2216","CG30161"
"2217","CG30183"
"2218","CG30185"
"2219","CG30187"
"2220","CG3021"
"2221","CG30283"
"2222","CG30285"
"2223","CG30286"
"2224","CG30287"
"2225","CG30288"
"2226","CG30289"
"2227","CG30291"
"2228","CG3032"
"2229","CG30324"
"2230","CG30338"
"2231","CG30343"
"2232","CG30344"
"2233","CG30349"
"2234","CG3036"
"2235","CG30373"
"2236","CG30377"
"2237","CG30379"
"2238","CG3038"
"2239","CG30380"
"2240","CG30381"
"2241","CG30383"
"2242","CG30389"
"2243","CG30392"
"2244","CG30394"
"2245","CG3040"
"2246","CG30401"
"2247","CG30403"
"2248","CG30409"
"2249","CG30413"
"2250","CG30414"
"2251","CG30415"
"2252","CG30417"
"2253","CG30421"
"2254","CG30423"
"2255","CG30424"
"2256","CG30427"
"2257","CG30428"
"2258","CG30431"
"2259","CG30432"
"2260","CG30438"
"2261","CG30440"
"2262","CG30441"
"2263","CG30447"
"2264","CG3045"
"2265","CG30456"
"2266","CG30460"
"2267","CG30463"
"2268","CG30466"
"2269","CG30467"
"2270","CG30484"
"2271","CG30485"
"2272","CG30491"
"2273","CG30493"
"2274","CG30495"
"2275","CG30496"
"2276","CG30499"
"2277","CG3061"
"2278","CG3065"
"2279","CG3071"
"2280","CG3077"
"2281","CG3085"
"2282","CG3097"
"2283","CG31029"
"2284","CG31038"
"2285","CG31041"
"2286","CG31053"
"2287","CG31064"
"2288","CG31068"
"2289","CG3107"
"2290","CG31075"
"2291","CG31098"
"2292","CG31106"
"2293","CG31108"
"2294","CG31109"
"2295","CG31111"
"2296","CG31115"
"2297","CG31122"
"2298","CG31125"
"2299","CG31126"
"2300","CG31139"
"2301","CG31140"
"2302","CG31141"
"2303","CG31142"
"2304","CG31156"
"2305","CG31161"
"2306","CG31174"
"2307","CG31176"
"2308","CG31195"
"2309","CG3121"
"2310","CG31211"
"2311","CG31220"
"2312","CG31221"
"2313","CG31223"
"2314","CG31224"
"2315","CG31229"
"2316","CG31231"
"2317","CG31249"
"2318","CG31251"
"2319","CG31268"
"2320","CG31272"
"2321","CG31275"
"2322","CG31278"
"2323","CG31287"
"2324","CG31301"
"2325","CG31313"
"2326","CG31320"
"2327","CG31321"
"2328","CG31323"
"2329","CG31324"
"2330","CG31342"
"2331","CG31343"
"2332","CG31344"
"2333","CG31357"
"2334","CG31360"
"2335","CG31365"
"2336","CG31368"
"2337","CG31373"
"2338","CG31381"
"2339","CG31388"
"2340","CG31391"
"2341","CG31414"
"2342","CG31431"
"2343","CG31437"
"2344","CG31441"
"2345","CG31454"
"2346","CG31457"
"2347","CG31460"
"2348","CG31467"
"2349","CG31469"
"2350","CG31473"
"2351","CG31477"
"2352","CG3149"
"2353","CG31495"
"2354","CG31510"
"2355","CG31516"
"2356","CG31517"
"2357","CG31522"
"2358","CG31523"
"2359","CG31528"
"2360","CG31538"
"2361","CG31546"
"2362","CG31548"
"2363","CG31549"
"2364","CG31550"
"2365","CG31551"
"2366","CG3156"
"2367","CG3160"
"2368","CG31612"
"2369","CG31619"
"2370","CG31624"
"2371","CG31626"
"2372","CG3163"
"2373","CG31633"
"2374","CG31635"
"2375","CG31637"
"2376","CG31638"
"2377","CG3164"
"2378","CG31642"
"2379","CG31643"
"2380","CG31646"
"2381","CG31648"
"2382","CG3165"
"2383","CG31650"
"2384","CG31673"
"2385","CG31674"
"2386","CG31678"
"2387","CG31688"
"2388","CG31694"
"2389","CG31705"
"2390","CG31710"
"2391","CG31712"
"2392","CG31715"
"2393","CG31717"
"2394","CG31728"
"2395","CG31729"
"2396","CG31731"
"2397","CG31739"
"2398","CG31751"
"2399","CG31759"
"2400","CG3176"
"2401","CG31777"
"2402","CG31789"
"2403","CG31792"
"2404","CG31793"
"2405","CG31797"
"2406","CG31800"
"2407","CG31807"
"2408","CG31808"
"2409","CG31809"
"2410","CG31810"
"2411","CG31812"
"2412","CG31815"
"2413","CG31817"
"2414","CG31826"
"2415","CG3184"
"2416","CG31849"
"2417","CG31855"
"2418","CG31871"
"2419","CG31875"
"2420","CG31886"
"2421","CG31897"
"2422","CG31898"
"2423","CG31907"
"2424","CG31908"
"2425","CG3191"
"2426","CG31915"
"2427","CG31918"
"2428","CG3192"
"2429","CG31922"
"2430","CG31935"
"2431","CG31937"
"2432","CG31950"
"2433","CG31955"
"2434","CG31957"
"2435","CG31961"
"2436","CG3198"
"2437","CG31988"
"2438","CG31997"
"2439","CG31998"
"2440","CG31999"
"2441","CG32000"
"2442","CG32006"
"2443","CG32017"
"2444","CG32022"
"2445","CG32026"
"2446","CG32036"
"2447","CG32037"
"2448","CG32039"
"2449","CG32052"
"2450","CG32053"
"2451","CG32066"
"2452","CG32068"
"2453","CG32069"
"2454","CG32075"
"2455","CG32079"
"2456","CG32081"
"2457","CG3209"
"2458","CG32091"
"2459","CG32095"
"2460","CG32100"
"2461","CG32103"
"2462","CG32104"
"2463","CG32109"
"2464","CG32110"
"2465","CG32112"
"2466","CG32113"
"2467","CG32137"
"2468","CG32138"
"2469","CG3214"
"2470","CG32141"
"2471","CG32147"
"2472","CG32163"
"2473","CG32164"
"2474","CG32176"
"2475","CG32181"
"2476","CG32187"
"2477","CG32195"
"2478","CG32202"
"2479","CG32206"
"2480","CG32212"
"2481","CG32221"
"2482","CG32225"
"2483","CG32228"
"2484","CG3223"
"2485","CG32230"
"2486","CG32238"
"2487","CG3224"
"2488","CG32243"
"2489","CG3225"
"2490","CG32250"
"2491","CG32259"
"2492","CG3226"
"2493","CG32262"
"2494","CG32263"
"2495","CG32264"
"2496","CG32267"
"2497","CG32276"
"2498","CG32278"
"2499","CG32280"
"2500","CG32281"
"2501","CG32313"
"2502","CG32333"
"2503","CG32344"
"2504","CG32350"
"2505","CG32365"
"2506","CG32368"
"2507","CG32369"
"2508","CG3238"
"2509","CG32396"
"2510","CG32409"
"2511","CG32425"
"2512","CG32428"
"2513","CG32436"
"2514","CG32441"
"2515","CG32442"
"2516","CG32447"
"2517","CG32448"
"2518","CG32452"
"2519","CG32457"
"2520","CG32459"
"2521","CG3246"
"2522","CG32473"
"2523","CG32479"
"2524","CG32483"
"2525","CG32485"
"2526","CG32486"
"2527","CG32506"
"2528","CG32507"
"2529","CG32512"
"2530","CG32521"
"2531","CG3253"
"2532","CG32533"
"2533","CG32537"
"2534","CG32544"
"2535","CG32549"
"2536","CG32554"
"2537","CG32568"
"2538","CG3257"
"2539","CG32572"
"2540","CG32576"
"2541","CG32579"
"2542","CG32581"
"2543","CG32590"
"2544","CG32591"
"2545","CG32599"
"2546","CG3262"
"2547","CG32625"
"2548","CG32638"
"2549","CG32639"
"2550","CG32640"
"2551","CG32641"
"2552","CG32647"
"2553","CG32649"
"2554","CG32650"
"2555","CG32655"
"2556","CG3267"
"2557","CG32676"
"2558","CG32679"
"2559","CG32699"
"2560","CG3270"
"2561","CG32700"
"2562","CG32706"
"2563","CG32708"
"2564","CG32712"
"2565","CG32732"
"2566","CG32755"
"2567","CG32756"
"2568","CG32758"
"2569","CG32767"
"2570","CG32772"
"2571","CG32783"
"2572","CG32786"
"2573","CG32791"
"2574","CG32795"
"2575","CG32801"
"2576","CG32803"
"2577","CG32808"
"2578","CG32809"
"2579","CG3281"
"2580","CG32813"
"2581","CG32814"
"2582","CG32815"
"2583","CG32816"
"2584","CG32817"
"2585","CG32829"
"2586","CG32850"
"2587","CG32856"
"2588","CG3294"
"2589","CG32944"
"2590","CG3295"
"2591","CG32971"
"2592","CG32982"
"2593","CG3303"
"2594","CG33051"
"2595","CG33052"
"2596","CG33054"
"2597","CG33062"
"2598","CG3308"
"2599","CG33082"
"2600","CG3309"
"2601","CG33090"
"2602","CG33096"
"2603","CG33099"
"2604","CG33107"
"2605","CG33108"
"2606","CG33111"
"2607","CG33116"
"2608","CG33123"
"2609","CG33129"
"2610","CG3313"
"2611","CG33144"
"2612","CG33145"
"2613","CG33156"
"2614","CG33158"
"2615","CG33169"
"2616","CG33170"
"2617","CG33172"
"2618","CG33181"
"2619","CG33199"
"2620","CG3321"
"2621","CG33213"
"2622","CG33217"
"2623","CG33226"
"2624","CG33228"
"2625","CG33229"
"2626","CG33230"
"2627","CG33235"
"2628","CG33253"
"2629","CG33257"
"2630","CG33258"
"2631","CG3326"
"2632","CG33260"
"2633","CG33267"
"2634","CG33269"
"2635","CG33275"
"2636","CG33276"
"2637","CG33287"
"2638","CG33288"
"2639","CG33298"
"2640","CG33303"
"2641","CG33331"
"2642","CG33332"
"2643","CG3335"
"2644","CG3337"
"2645","CG3338"
"2646","CG3339"
"2647","CG3342"
"2648","CG33461"
"2649","CG33468"
"2650","CG33474"
"2651","CG33493"
"2652","CG33494"
"2653","CG33506"
"2654","CG33509"
"2655","CG33514"
"2656","CG33521"
"2657","CG3353"
"2658","CG33552"
"2659","CG3356"
"2660","CG3358"
"2661","CG33632"
"2662","CG33635"
"2663","CG33640"
"2664","CG33641"
"2665","CG33648"
"2666","CG33655"
"2667","CG33679"
"2668","CG3368"
"2669","CG33695"
"2670","CG33752"
"2671","CG3376"
"2672","CG33774"
"2673","CG33792"
"2674","CG3386"
"2675","CG33926"
"2676","CG33928"
"2677","CG33947"
"2678","CG33969"
"2679","CG33977"
"2680","CG33978"
"2681","CG33993"
"2682","CG34001"
"2683","CG34007"
"2684","CG34008"
"2685","CG34010"
"2686","CG34012"
"2687","CG34015"
"2688","CG3402"
"2689","CG34021"
"2690","CG34025"
"2691","CG34031"
"2692","CG34034"
"2693","CG34039"
"2694","CG34043"
"2695","CG34056"
"2696","CG34057"
"2697","CG3407"
"2698","CG3408"
"2699","CG34107"
"2700","CG34112"
"2701","CG34113"
"2702","CG34116"
"2703","CG34117"
"2704","CG34124"
"2705","CG34125"
"2706","CG34126"
"2707","CG34127"
"2708","CG34132"
"2709","CG34133"
"2710","CG34134"
"2711","CG34136"
"2712","CG34137"
"2713","CG34141"
"2714","CG34148"
"2715","CG34149"
"2716","CG34150"
"2717","CG34155"
"2718","CG34159"
"2719","CG34163"
"2720","CG34174"
"2721","CG34183"
"2722","CG34184"
"2723","CG34191"
"2724","CG34194"
"2725","CG34195"
"2726","CG3420"
"2727","CG34200"
"2728","CG34207"
"2729","CG34210"
"2730","CG34213"
"2731","CG34214"
"2732","CG34220"
"2733","CG34224"
"2734","CG34228"
"2735","CG34229"
"2736","CG34231"
"2737","CG34232"
"2738","CG34234"
"2739","CG34242"
"2740","CG34250"
"2741","CG34261"
"2742","CG34266"
"2743","CG34276"
"2744","CG34283"
"2745","CG34293"
"2746","CG3430"
"2747","CG34308"
"2748","CG34310"
"2749","CG34316"
"2750","CG34323"
"2751","CG34328"
"2752","CG34334"
"2753","CG3434"
"2754","CG34348"
"2755","CG34353"
"2756","CG34354"
"2757","CG34356"
"2758","CG34357"
"2759","CG3436"
"2760","CG34362"
"2761","CG34367"
"2762","CG3437"
"2763","CG34371"
"2764","CG34376"
"2765","CG34380"
"2766","CG34383"
"2767","CG34386"
"2768","CG34394"
"2769","CG34396"
"2770","CG34398"
"2771","CG34401"
"2772","CG34404"
"2773","CG34408"
"2774","CG34409"
"2775","CG34417"
"2776","CG34422"
"2777","CG34423"
"2778","CG34424"
"2779","CG34431"
"2780","CG34437"
"2781","CG34439"
"2782","CG34442"
"2783","CG34445"
"2784","CG34446"
"2785","CG34449"
"2786","CG34453"
"2787","CG3446"
"2788","CG34461"
"2789","CG3448"
"2790","CG3457"
"2791","CG3476"
"2792","CG3499"
"2793","CG3500"
"2794","CG3501"
"2795","CG3502"
"2796","CG3505"
"2797","CG3511"
"2798","CG3520"
"2799","CG3526"
"2800","CG3527"
"2801","CG3529"
"2802","CG3530"
"2803","CG3534"
"2804","CG3542"
"2805","CG3548"
"2806","CG3552"
"2807","CG3556"
"2808","CG3558"
"2809","CG3560"
"2810","CG3566"
"2811","CG3568"
"2812","CG3570"
"2813","CG3587"
"2814","CG3589"
"2815","CG3603"
"2816","CG3605"
"2817","CG3608"
"2818","CG3609"
"2819","CG3618"
"2820","CG3621"
"2821","CG3625"
"2822","CG3626"
"2823","CG3630"
"2824","CG3631"
"2825","CG3632"
"2826","CG3634"
"2827","CG3638"
"2828","CG3645"
"2829","CG3651"
"2830","CG3652"
"2831","CG3655"
"2832","CG3662"
"2833","CG3663"
"2834","CG3678"
"2835","CG3679"
"2836","CG3689"
"2837","CG3700"
"2838","CG3702"
"2839","CG3704"
"2840","CG3709"
"2841","CG3711"
"2842","CG3714"
"2843","CG3719"
"2844","CG3726"
"2845","CG3731"
"2846","CG3732"
"2847","CG3735"
"2848","CG3740"
"2849","CG3744"
"2850","CG3756"
"2851","CG3760"
"2852","CG3764"
"2853","CG3769"
"2854","CG3770"
"2855","CG3773"
"2856","CG3776"
"2857","CG3777"
"2858","CG3781"
"2859","CG3788"
"2860","CG3790"
"2861","CG3792"
"2862","CG3793"
"2863","CG3797"
"2864","CG3800"
"2865","CG3803"
"2866","CG3808"
"2867","CG3812"
"2868","CG3815"
"2869","CG3817"
"2870","CG3822"
"2871","CG3829"
"2872","CG3831"
"2873","CG3835"
"2874","CG3838"
"2875","CG3842"
"2876","CG3847"
"2877","CG3857"
"2878","CG3862"
"2879","CG3868"
"2880","CG3876"
"2881","CG3880"
"2882","CG3887"
"2883","CG3894"
"2884","CG3902"
"2885","CG3907"
"2886","CG3909"
"2887","CG3918"
"2888","CG3919"
"2889","CG3925"
"2890","CG3927"
"2891","CG3939"
"2892","CG3940"
"2893","CG3955"
